ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
2390630561336778,315126268991751,"Camilla Fabricius",2025-03-16,2025-03-16,2025-03-23,"Camilla Fabricius","En skaterbane til Odder? Ja tak! 🛹✨

Trivsel hænger tæt sammen med bevægelse, men alt for ofte ender vi foran en skærm, når vi trænger til en pause. Det gælder både børn og voksne.
Derfor er det fantastisk, at et borgerforslag om en ny skaterbane nu får opbakning i Odders byråd 🙌 – blandt andet fra min partifælle @[100066751991492:2048:Lars Bluhme.]  og godt støttt op af borgmester @[100063679432043:2048:Lone Jakobi]

Det var nemlig Søren Callisen som stillede forslaget, fordi han som far savner sjove udendørs aktiviteter i byen. Og han har en pointe!

En skaterbane vil give børn og unge et sted at mødes, bevæge sig og få en pause fra skærmene 🌿🎉. Sådan er det i Odder, og sådan er det mange andre steder. Ikke bare omkring skaterbaner men generelt engagerer flere og flere sig i frivillige projekter.

Så tak til Søren for at tage initiativet! Jeg håber, skaterbanen bliver en realitet – og hvem ved, måske prøver jeg selv en tur på løbehjul 🛴😄!

Bak endelig op om forslaget hvis du synes at en skaterbane er nice!",,,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 0, upper_bound: 99",DKK,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.034621},{""age"":""45-54"",""gender"":""male"",""percentage"":0.075899},{""age"":""65+"",""gender"":""male"",""percentage"":0.069241},{""age"":""65+"",""gender"":""female"",""percentage"":0.142477},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002663},{""age"":""55-64"",""gender"":""male"",""percentage"":0.053262},{""age"":""55-64"",""gender"":""female"",""percentage"":0.114514},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001332},{""age"":""45-54"",""gender"":""female"",""percentage"":0.122503},{""age"":""18-24"",""gender"":""male"",""percentage"":0.015979},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001332},{""age"":""35-44"",""gender"":""male"",""percentage"":0.054594},{""age"":""35-44"",""gender"":""female"",""percentage"":0.178429},{""age"":""25-34"",""gender"":""male"",""percentage"":0.038615},{""age"":""25-34"",""gender"":""female"",""percentage"":0.091877},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001332},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001332}","{""region"":""Central Denmark Region"",""percentage"":1}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",da
1915802709163339,315126268991751,"Camilla Fabricius",2025-03-07,2025-03-07,,"Camilla Fabricius","Kvinder er oftere udsat for hårdt psykisk arbejdsmiljø
 
Blandt kvindelige lønmodtagere har 20,3 procent et hårdt psykisk arbejdsmiljø, mens tallet er 14,8 procent blandt mandlige lønmodtagere.

Kvindelige lønmodtagere er ligeledes oftere udsat både for vold og trusler om vold, mobning og arbejdsrelateret stress.

@AE arbejderbevægelsens Erhvervsråd er kommet med en ny undersøge hvor Hovedkonklusioner er;

😡20,3 pct. af kvindelige lønmodtagere, svarende til godt hver femte, har et hårdt psykisk arbejdsmiljø. For mandlige lønmodtagere er tallet 14,8 pct., svarende til lidt over hver syvende.

😳9,9 pct. af kvindelige lønmodtagere er udsat for mobning på arbejdspladsen. For mænd er tallet 8,2 pct.
(Se artikel af @[100063620648678:2048:stiften.dk] i kommentarsporet)

❤️‍🩹11,0 pct. af de kvindelige lønmodtagere er udsat for vold eller trusler om vold i forbindelse med arbejdet. For mandlige lønmodtagere er tallet 6,8 pct.

‼️12,4 pct. af kvindelige lønmodtagere er udsat for arbejdsrelateret stress. Blandt mandlige lønmodtagere er tallet 9,3 pct. 

Glædelig kampdag 8. Marts
(Til alle dem som spørger år efter år om der egentlig er noget at kæmpe for.. 🤷🏻‍♀️💃🏻)",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 600, upper_bound: 699",DKK,"{""age"":""45-54"",""gender"":""female"",""percentage"":0.282873},{""age"":""55-64"",""gender"":""female"",""percentage"":0.337122},{""age"":""65+"",""gender"":""female"",""percentage"":0.380005}","{""region"":""Central Denmark Region"",""percentage"":1}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",da
1202009207945275,315126268991751,"Camilla Fabricius",2025-02-26,2025-02-26,2025-03-01,"Camilla Fabricius","Har du noget på ❤️?

Fredag står jeg klar i Viby Centret og i Barzar Vest med varm kaffe, lyttende ører og et kram, hvis du har brug for det.

Kom forbi til en snak – om stort og småt, eller bare for hyggeligt selskab.

Vi glæder os til at se dig! 🥰",,,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",DKK,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.017544},{""age"":""18-24"",""gender"":""male"",""percentage"":0.017544},{""age"":""25-34"",""gender"":""female"",""percentage"":0.045113},{""age"":""25-34"",""gender"":""male"",""percentage"":0.032581},{""age"":""35-44"",""gender"":""female"",""percentage"":0.052632},{""age"":""35-44"",""gender"":""male"",""percentage"":0.06015},{""age"":""45-54"",""gender"":""female"",""percentage"":0.095238},{""age"":""45-54"",""gender"":""male"",""percentage"":0.080201},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005013},{""age"":""55-64"",""gender"":""female"",""percentage"":0.14787},{""age"":""55-64"",""gender"":""male"",""percentage"":0.097744},{""age"":""65+"",""gender"":""female"",""percentage"":0.215539},{""age"":""65+"",""gender"":""male"",""percentage"":0.130326},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002506}","{""region"":""Central Denmark Region"",""percentage"":1}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",da
647349137712765,315126268991751,"Camilla Fabricius",2025-02-19,2025-02-19,2025-02-27,"Camilla Fabricius","Jeg vil blive rigtig glad, hvis du ville følge min side og være med i kampen for at gøre Østjylland til et bedre sted for os alle ❤","Camilla Fabricius",facebook.com,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",DKK,,,facebook,"lower_bound: 100001, upper_bound: 500000",da
1256377395455959,315126268991751,"Camilla Fabricius",2025-02-19,2025-02-19,2025-02-28,"Camilla Fabricius","Jeg vil blive rigtig glad, hvis du ville følge min side og være med i kampen for at gøre Østjylland til et bedre sted for os alle ❤","Camilla Fabricius",facebook.com,,"lower_bound: 6000, upper_bound: 6999","lower_bound: 400, upper_bound: 499",DKK,"{""age"":""45-54"",""gender"":""female"",""percentage"":0.017386},{""age"":""55-64"",""gender"":""female"",""percentage"":0.097722},{""age"":""65+"",""gender"":""female"",""percentage"":0.884892}","{""region"":""Central Denmark Region"",""percentage"":1}",facebook,"lower_bound: 100001, upper_bound: 500000",da
1592147288164782,315126268991751,"Camilla Fabricius",2025-02-19,2025-02-19,2025-02-27,"Camilla Fabricius","Jeg vil blive rigtig glad, hvis du ville følge min side og være med i kampen for at gøre Østjylland til et bedre sted for os alle ❤","Camilla Fabricius",facebook.com,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",DKK,"{""age"":""45-54"",""gender"":""female"",""percentage"":0.103774},{""age"":""55-64"",""gender"":""female"",""percentage"":0.220126},{""age"":""65+"",""gender"":""female"",""percentage"":0.676101}","{""region"":""Central Denmark Region"",""percentage"":1}",facebook,"lower_bound: 100001, upper_bound: 500000",da
1665749000993093,315126268991751,"Camilla Fabricius",2025-02-09,2025-02-09,2025-02-13,"Camilla Fabricius","Er kvinders sundhed egentlig et anliggende for mænd…❓🤷🏻‍♀️

For ingen skal kæmpe alene, og sammen kan vi blive kloge på de bias som er på køn og sundhed.
Sådan har vi i Alliancen for Kvinders Sundhed blandt andet spurgt Svend Aage Madsen, mandeforsker og leder af “Forum for mænds sundhed”.

Det var enormt givende at mødes med Svend Aage og tale om deres erfaringer om at bringe mænds sundhed på banen.

De har blandt andet sat fokus med @[100050397013682:2048:Men's Health] week på ensomhed blandt mænd, de har sikret ordentlig viden og opfølgening på prostakræft og så arbejder de hele tiden på at mænd faktisk kommer til lægen. For billedet for mænd og kvinder er nemlig helt omvendt. Mænd går ikke til lægen, og derfor bliver deres sygdomme ikke opdaget. Kvinder går ofte til lægen, men der er meget knappe viden om vores sygdomme, der mangler behandling og helbredelse. 

💪🏼Vi har brug for flere samarbejder, mere viden, større tryghed.

Det handler om at være fælles - om de uligheder der er. 
For det er ikke rimeligt at mænd dør af ensomhed, og kvinder lever med ikke-opdagede, underbelyste sygdomme.

🙏🏼Del og kommentere meget gerne dine tanker, så vi kan få udbredt både gode ideeer, tanker, viden men også det hvor det er svært og hvor vores sundhedsvæsnet bias stikker sit grimme ansigt frem.

(Og piiiist du kan godt som mand bliver medlem af Alliancen - like i kommentarsporet)

@[100076247018180:2048:Monika Rubin] og jeg var i lokalet, og @[100057781850531:2048:Anne Sophie Callesen] og @marianne lynghøj var med på en online forbindelse.

@[100064694196528:2048:Kvinderådet] @[100064688466116:2048:KVINFO] @[817307720207877:49210:@topfans] @[100064552609577:2048:Yngre Læger] @[100064364695112:2048:KvindePolitisk Forum]","Camilla Fabricius",,"Drømmer et lige Danmark hvor mennesker høj som lav, de som bøvler med sindet, de som har brug for en hånd i ryggen, har lige muligheder ❤️","lower_bound: 1000, upper_bound: 1999","lower_bound: 100, upper_bound: 199",DKK,"{""age"":""25-34"",""gender"":""female"",""percentage"":0.022556},{""age"":""25-34"",""gender"":""male"",""percentage"":0.025898},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000835},{""age"":""35-44"",""gender"":""female"",""percentage"":0.036759},{""age"":""35-44"",""gender"":""male"",""percentage"":0.044277},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001671},{""age"":""45-54"",""gender"":""female"",""percentage"":0.060986},{""age"":""45-54"",""gender"":""male"",""percentage"":0.071011},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004177},{""age"":""55-64"",""gender"":""female"",""percentage"":0.09858},{""age"":""55-64"",""gender"":""male"",""percentage"":0.101086},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002506},{""age"":""65+"",""gender"":""female"",""percentage"":0.296575},{""age"":""65+"",""gender"":""male"",""percentage"":0.22807},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.005013}","{""region"":""Central Denmark Region"",""percentage"":0.831675},{""region"":""North Denmark Region"",""percentage"":0.010779},{""region"":""Region of Southern Denmark"",""percentage"":0.157546}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",da
4287529231533362,315126268991751,"Camilla Fabricius",2025-01-31,2025-01-31,2025-02-05,"Camilla Fabricius","Har du mon tjekket din bankkonto idag?

Fra i dag har du som enlig forsørger og ældre med ældre check fået mere på kontoen. For fra og med i dag får enlige forsørgere op mod 7.500 kr mere og en folkepensionist som får ældrechecken op mod 11.000 kr

Der er rigtig mange som har siddet stramt i den seneste tid, og dette her hjælper. Det løser ikke alt. Men det kommer til at gøre en forskel.","Camilla Fabricius",,"Folketingsmedlem, Social - og familieordfører for Socialdemokratiet.","lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",DKK,"{""age"":""25-34"",""gender"":""female"",""percentage"":0.018722},{""age"":""25-34"",""gender"":""male"",""percentage"":0.018722},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001101},{""age"":""35-44"",""gender"":""female"",""percentage"":0.028634},{""age"":""35-44"",""gender"":""male"",""percentage"":0.029736},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002203},{""age"":""45-54"",""gender"":""female"",""percentage"":0.037445},{""age"":""45-54"",""gender"":""male"",""percentage"":0.061674},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001101},{""age"":""55-64"",""gender"":""female"",""percentage"":0.093612},{""age"":""55-64"",""gender"":""male"",""percentage"":0.134361},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003304},{""age"":""65+"",""gender"":""female"",""percentage"":0.305066},{""age"":""65+"",""gender"":""male"",""percentage"":0.261013},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.003304}","{""region"":""Central Denmark Region"",""percentage"":0.813928},{""region"":""North Denmark Region"",""percentage"":0.013058},{""region"":""Region of Southern Denmark"",""percentage"":0.173014}",facebook,"lower_bound: 100001, upper_bound: 500000",da
967281101498762,315126268991751,"Camilla Fabricius",2025-01-22,2025-01-22,2025-01-27,"Camilla Fabricius","I sidste uge har Mikkel været i praktik hos mig. 
Jeg overlader ordet til Mikkel hvor han kan fortælle om hans praktik. 

“Jeg synes det har været rigtig fedt at være i praktik hos Camilla. Fordi at det er noget man ikke oplever hver dag. Og får lov til at se hvordan det er at være politiker og være med i Folketinget.”

(og ja - man må gerne få cola, når man er i praktik.. ✅)

Det har været en fornøjelse at have dig Mikkel. Vi nåede både besøg i udenrigsministeriet og i ligestillingsministeriet - det er da ret godt gået 🙌🏽

I denne uge skal Cleo og Hafsah i praktik. Og det bliver en travl uge, med taler i salen, forhandlinger hos @[100050185882542:2048:Sophie Hæstorp Andersen], møde om folkekirkens understøttelse af socialarbejdet og en række pressearbejde. 

Det er super hyggeligt at have praktikanter - og de plejer at sove godt om fredag, når de får weekend 😂

Hvad skal du lave i løbet af din uge?","Camilla Fabricius",,"Folketingsmedlem, Social - og familieordfører for Socialdemokratiet.","lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",DKK,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.050659},{""age"":""45-54"",""gender"":""male"",""percentage"":0.07703},{""age"":""65+"",""gender"":""male"",""percentage"":0.087439},{""age"":""65+"",""gender"":""female"",""percentage"":0.097849},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000694},{""age"":""55-64"",""gender"":""male"",""percentage"":0.07356},{""age"":""55-64"",""gender"":""female"",""percentage"":0.061763},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001388},{""age"":""45-54"",""gender"":""female"",""percentage"":0.062457},{""age"":""18-24"",""gender"":""male"",""percentage"":0.081888},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002082},{""age"":""35-44"",""gender"":""male"",""percentage"":0.111034},{""age"":""35-44"",""gender"":""female"",""percentage"":0.069396},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00347},{""age"":""25-34"",""gender"":""male"",""percentage"":0.148508},{""age"":""25-34"",""gender"":""female"",""percentage"":0.067314},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000694},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002776}","{""region"":""Central Denmark Region"",""percentage"":0.998617},{""region"":""North Denmark Region"",""percentage"":0.000692},{""region"":""Region of Southern Denmark"",""percentage"":0.000692}",facebook,"lower_bound: 500001, upper_bound: 1000000",da
1305474917298853,315126268991751,"Camilla Fabricius",2024-12-14,2024-12-14,2024-12-22,"Camilla Fabricius","GLÆDELIG NYHED I SKOVGÅRDSPARKEN 🎉
Skovgårdsparken er nu fjernet fra parallelsamfundslisten ✅
- andelen af voksne med kun grundskole er nemlig faldet markant. 

Vi fik besøg af Social- og boligminister @[100050185882542:2048:Sophie Hæstorp Andersen] mandag morgen, hvor Sarah og Lars viste området frem og hvor Sophie og @[100064034201948:2048:Anders Winnerskjold] lyttede til det boligsociale arbejde bag resultaterne.

🗣️ “Det er virkelig positivt, at flere unge herfra tager uddannelse og klarer sig godt,” sagde Sophie under besøget.

Dejligt hvordan både @[100064765236338:2048:TV2 Østjylland] og @[100037623955456:2048:Vores Brabrand] var tilstede 🎥 for fejre denne store milepæl! 🌟

Min gode ven @[1385737519:2048:Anette Poulsen], social- og beskæftigelsesrådmand var også med. En kæmpe indsats af både medarbejdere i jobcentret og lokale boligsociale folk. Det gør en forskel.","Camilla Fabricius",,"Folketingsmedlem, Social - og familieordfører for Socialdemokratiet.","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",DKK,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.001656},{""age"":""18-24"",""gender"":""male"",""percentage"":0.019868},{""age"":""25-34"",""gender"":""female"",""percentage"":0.043046},{""age"":""25-34"",""gender"":""male"",""percentage"":0.048013},{""age"":""35-44"",""gender"":""female"",""percentage"":0.044702},{""age"":""35-44"",""gender"":""male"",""percentage"":0.062914},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.008278},{""age"":""45-54"",""gender"":""female"",""percentage"":0.051325},{""age"":""45-54"",""gender"":""male"",""percentage"":0.100993},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003311},{""age"":""55-64"",""gender"":""female"",""percentage"":0.061258},{""age"":""55-64"",""gender"":""male"",""percentage"":0.157285},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001656},{""age"":""65+"",""gender"":""female"",""percentage"":0.168874},{""age"":""65+"",""gender"":""male"",""percentage"":0.22351},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.003311}","{""region"":""Capital Region of Denmark"",""percentage"":0.18593},{""region"":""Central Denmark Region"",""percentage"":0.58459},{""region"":""North Denmark Region"",""percentage"":0.087102},{""region"":""Region of Southern Denmark"",""percentage"":0.108878},{""region"":""Unknown"",""percentage"":0.001675},{""region"":""Zealand Region"",""percentage"":0.031826}",facebook,"lower_bound: 100001, upper_bound: 500000",da
